layer,a_train,a_val,a_val_bare,a_implied_recall,a_implied_ba_bare,a_implied_ba_np,a_human,a_human_recall,a_jm_recall,a_jm_pooled,a_positive_as_distressed,a_pdist_bare_neutral_val,a_pdist_neutral_preamble_val,a_pdist_distressed_val,a_pdist_frustrated_val,a_pdist_positive_all,a_pdist_implied,a_pdist_third_party,a_pdist_third_party_neutral,a_pdist_human_neutral,a_pdist_human_distressed,a_pdist_human_frustrated,a_pdist_human_implied,a_pdist_human_third_party,a_pdist_human_third_party_neutral,a_C,shuffled_a_val,b_train,b_val,b_val_bare,b_human,b_human_recall,b_jm_recall,b_positive_as_frustrated,b_C,shuffled_b_val,d_train,d_val,d_val_n,d_implied_as_distressed,d_np_as_distressed,d_C,shuffled_d_val,c_train,c_val,c_human,c_C,cos_wa_wb,cos_wa_rand,cos_wb_rand,cos_wa_wd
18,1.0,0.95,0.9833333333333334,0.85,0.9125,0.8916666666666666,0.9166666666666667,0.8333333333333334,0.8888888888888888,0.9111111111111111,0.4,0.026706639677286148,0.09481856971979141,0.952051043510437,0.8934837579727173,0.40437090396881104,0.8033148050308228,0.9045408368110657,0.008701572194695473,0.07335005700588226,0.8755028247833252,0.8012627959251404,0.3097907602787018,0.7526694536209106,0.0007333025569096208,0.1,0.55,1.0,0.9333333333333333,0.9666666666666667,0.9166666666666667,0.8333333333333334,1.0,0.34,0.1,0.5333333333333333,1.0,0.8666666666666667,45,0.975,0.5666666666666667,0.1,0.48333333333333334,1.0,0.8555555555555556,0.8333333333333334,0.01,0.7130337953567505,0.011586356301420325,0.00011397540903110892,0.3989518880844116
19,1.0,0.9166666666666667,0.9666666666666667,0.875,0.9375,0.8875,0.9,1.0,1.0,0.95,0.38,0.03765581175684929,0.10256057232618332,0.9378254413604736,0.8967315554618835,0.373739093542099,0.8156700134277344,0.8829735517501831,0.00931218545883894,0.14107173681259155,0.9378203749656677,0.8054396510124207,0.2899289131164551,0.8038260340690613,0.00037698718369938433,0.1,0.5,1.0,0.9333333333333333,0.9833333333333334,0.9166666666666667,0.8333333333333334,1.0,0.38,0.1,0.3666666666666667,1.0,0.8666666666666667,45,1.0,0.8,0.01,0.43333333333333335,0.9944444444444445,0.8777777777777778,0.888888888888889,0.001,0.7261665463447571,-0.020659482529724615,-0.011099485260393642,0.377392441034317
20,1.0,0.9166666666666667,0.9666666666666667,0.875,0.9375,0.8875,1.0,1.0,1.0,0.95,0.26,0.03676731884479523,0.09584934264421463,0.929168164730072,0.8596287965774536,0.28315505385398865,0.8162790536880493,0.8718593716621399,0.00838218629360199,0.0969938188791275,0.96571946144104,0.7757573127746582,0.22107204794883728,0.805981457233429,0.0004743204335682094,0.1,0.6166666666666667,0.9833333333333334,0.95,0.9833333333333334,0.9166666666666667,0.8333333333333334,1.0,0.26,0.001,0.55,1.0,0.8666666666666667,45,1.0,0.6333333333333333,0.01,0.4666666666666667,1.0,0.8666666666666667,0.9444444444444445,0.01,0.6885803937911987,0.0045325243967270475,-0.008919465339294982,0.41213133931159973
21,1.0,0.9,0.9666666666666667,0.85,0.925,0.8583333333333334,1.0,1.0,1.0,0.9333333333333333,0.2,0.050280336290597916,0.10659828037023544,0.9318159818649292,0.8652850985527039,0.23872123658657074,0.8114660382270813,0.8744710683822632,0.007950975559651852,0.0782201886177063,0.9763323664665222,0.7831923365592957,0.24254851043224335,0.8443374633789062,0.00043109472608193755,0.1,0.3833333333333333,0.9833333333333334,0.9333333333333333,0.9833333333333334,0.9166666666666667,0.8333333333333334,1.0,0.2,0.001,0.4166666666666667,1.0,0.8666666666666667,45,0.975,0.6333333333333333,0.1,0.43333333333333335,0.9861111111111112,0.8666666666666667,0.888888888888889,0.001,0.6916621923446655,-0.023731867097366872,-0.005456793310503551,0.40287280082702637
22,1.0,0.9333333333333333,0.9833333333333334,0.85,0.925,0.875,1.0,1.0,1.0,0.95,0.14,0.05338794365525246,0.1149006336927414,0.9427993297576904,0.878760576248169,0.15743722021579742,0.8009853363037109,0.8828125,0.009087386541068554,0.030846616253256798,0.9888498187065125,0.7787730097770691,0.29535773396492004,0.8935866355895996,0.00019733619410544634,0.1,0.4666666666666667,1.0,0.9166666666666667,0.9666666666666667,0.9166666666666667,0.8333333333333334,1.0,0.12,0.01,0.5833333333333333,1.0,0.9,45,1.0,0.6,0.1,0.4666666666666667,0.9888888888888889,0.888888888888889,0.9444444444444445,0.001,0.7390735149383545,-0.011111087803626676,-0.005989031276908709,0.4402221143245697
23,1.0,0.9333333333333333,0.9666666666666667,0.825,0.8999999999999999,0.8791666666666667,1.0,1.0,1.0,0.9666666666666667,0.1,0.09429151564836502,0.12980258464813232,0.9106855988502502,0.8419787287712097,0.1768312305212021,0.7393656373023987,0.841082751750946,0.040787287056446075,0.09717339277267456,0.9270463585853577,0.7348718047142029,0.28472667932510376,0.7660104036331177,0.004676273558288813,0.01,0.3833333333333333,1.0,0.9166666666666667,0.95,0.9166666666666667,0.8333333333333334,1.0,0.12,0.1,0.4666666666666667,1.0,0.9,45,1.0,0.6,0.01,0.5,1.0,0.9111111111111111,0.8888888888888888,0.1,0.7155916690826416,-0.010338788816585794,-0.00653020169276261,0.5030609965324402
24,1.0,0.9166666666666667,0.95,0.825,0.8999999999999999,0.8625,1.0,1.0,1.0,0.95,0.1,0.06545130163431168,0.11656650900840759,0.9336374402046204,0.8737653493881226,0.12047290802001953,0.7826589345932007,0.8639984130859375,0.011036956682801247,0.04801901429891586,0.9724717736244202,0.7540822625160217,0.26094356179237366,0.8996628522872925,0.0004031752177979797,0.1,0.5333333333333333,1.0,0.9166666666666667,0.95,0.9166666666666667,0.8333333333333334,1.0,0.1,0.1,0.41666666666666663,1.0,0.9,45,1.0,0.5666666666666667,0.1,0.4666666666666667,1.0,0.8888888888888888,0.8888888888888888,0.1,0.6976267695426941,-0.012230875702424211,0.0046617168519916714,0.4591257870197296
25,1.0,0.9166666666666667,0.9666666666666667,0.85,0.8999999999999999,0.875,1.0,1.0,1.0,0.95,0.1,0.06930647790431976,0.12439464032649994,0.9368177652359009,0.8816496729850769,0.12320418655872345,0.7838256359100342,0.8684431314468384,0.012948128394782543,0.0579456090927124,0.9597699046134949,0.7839003205299377,0.2784591019153595,0.8788684606552124,0.00013119475624989718,0.1,0.5333333333333333,1.0,0.9166666666666667,0.95,0.9166666666666667,0.8333333333333334,1.0,0.1,0.1,0.43333333333333335,1.0,0.9,45,0.975,0.5333333333333333,0.1,0.5,1.0,0.8333333333333334,0.8888888888888888,0.1,0.693647563457489,0.0003230118927340472,-0.000831343549407314,0.4560052454471588
26,1.0,0.9166666666666667,0.9666666666666667,0.825,0.8999999999999999,0.8458333333333333,1.0,1.0,1.0,0.9333333333333333,0.08,0.08202997595071793,0.13417057693004608,0.9447677731513977,0.8875452876091003,0.1344291865825653,0.7645601034164429,0.8867542147636414,0.014746969565749168,0.05682440847158432,0.9719311594963074,0.7627687454223633,0.35982999205589294,0.8880841135978699,0.00021056648984085768,0.1,0.4,1.0,0.9,0.95,0.9166666666666667,0.8333333333333334,1.0,0.1,0.1,0.48333333333333334,1.0,0.9,45,1.0,0.5666666666666667,0.1,0.5333333333333333,1.0,0.8555555555555556,0.8888888888888888,0.01,0.6872196197509766,0.010756320233710039,-0.005037730896469838,0.44399407505989075
27,1.0,0.9166666666666667,0.95,0.8,0.8875,0.8500000000000001,1.0,1.0,1.0,0.95,0.1,0.05427569895982742,0.11337510496377945,0.9137040376663208,0.8584268093109131,0.13412699103355408,0.7452632188796997,0.8563162088394165,0.014489764347672462,0.05251505225896835,0.9632300734519958,0.7686371207237244,0.24506914615631104,0.8723047971725464,0.00023048021830618382,0.1,0.55,1.0,0.9,0.95,0.9166666666666667,0.8333333333333334,1.0,0.14,0.1,0.5166666666666666,1.0,0.9,45,1.0,0.5666666666666667,0.1,0.4666666666666667,1.0,0.8666666666666667,0.8888888888888888,0.1,0.6782755851745605,-0.009223896128038683,-0.007099904104858677,0.4516332745552063
28,1.0,0.9333333333333333,0.9666666666666667,0.75,0.8625,0.8416666666666667,1.0,1.0,1.0,0.9666666666666667,0.1,0.025870416313409805,0.09548158198595047,0.9113624691963196,0.854621171951294,0.15606795251369476,0.7286930680274963,0.8467780351638794,0.009622320532798767,0.03710618615150452,0.9755573868751526,0.7893314957618713,0.17283117771148682,0.8784065246582031,0.0005522590363398194,0.1,0.5,1.0,0.9166666666666667,0.95,0.9166666666666667,0.8333333333333334,1.0,0.1,0.1,0.5,1.0,0.9333333333333333,45,1.0,0.6,0.1,0.5,1.0,0.8555555555555556,0.9444444444444445,0.01,0.6656126379966736,-0.03899784812565197,-0.027089087682145744,0.44065386056900024
29,1.0,0.9333333333333333,0.9666666666666667,0.75,0.8625,0.8416666666666667,1.0,1.0,1.0,0.9666666666666667,0.1,0.06357281655073166,0.1129552572965622,0.8964208364486694,0.8278273344039917,0.1908232718706131,0.7084677815437317,0.8319953680038452,0.03940778970718384,0.09242181479930878,0.9334254264831543,0.7620735168457031,0.19603772461414337,0.7998380661010742,0.005695580039173365,0.01,0.6333333333333333,1.0,0.9,0.95,0.9166666666666667,0.8333333333333334,1.0,0.04,0.01,0.45,1.0,0.9,45,1.0,0.7,0.01,0.5166666666666667,1.0,0.8444444444444444,0.9444444444444445,0.1,0.7007314562797546,-0.0073968126851224735,-0.007136012183820356,0.4762243628501892
30,1.0,0.9333333333333333,0.9666666666666667,0.75,0.8625,0.8416666666666667,1.0,1.0,1.0,0.9666666666666667,0.12,0.014202004298567772,0.08039355278015137,0.9245240092277527,0.8471652269363403,0.14360788464546204,0.7281244397163391,0.8693307638168335,0.00829673744738102,0.0243089459836483,0.981182873249054,0.7937594056129456,0.178829625248909,0.8720651865005493,0.000745925004594028,0.1,0.41666666666666663,1.0,0.9,0.95,0.9166666666666667,0.8333333333333334,1.0,0.08,0.1,0.55,1.0,0.9333333333333333,45,1.0,0.7,0.1,0.45,1.0,0.8555555555555556,0.9444444444444445,0.01,0.6401501297950745,0.008918366771671555,0.005311001716515127,0.4584522545337677
31,1.0,0.9333333333333333,0.9666666666666667,0.75,0.8625,0.8416666666666667,1.0,1.0,1.0,0.9666666666666667,0.12,0.026962431147694588,0.07927458733320236,0.9301298260688782,0.8628318309783936,0.15133826434612274,0.7374393343925476,0.8759672045707703,0.010250581428408623,0.024194393306970596,0.9700315594673157,0.8126869797706604,0.21346576511859894,0.8581722974777222,0.0011924266582354903,0.1,0.48333333333333334,1.0,0.9166666666666667,0.95,0.9166666666666667,0.8333333333333334,1.0,0.08,0.01,0.6,1.0,0.9,45,1.0,0.6333333333333333,0.1,0.55,1.0,0.8777777777777778,0.9444444444444445,0.1,0.666386604309082,-0.009242172124467986,-0.030941157995154657,0.4576563239097595
